SiteID,precipitation,rain_time,sampleID,subtreatment,Treatment,rf_event,Year,flow_time,ro_event,flow,tss_sum,rf_rate,random
EIA,0.064,206,3026,control,control,34,2018,5166,14,76910.36,11.27534233,18.6407767,R
EIA,0.064,206,3025,prairie strip,strips,34,2018,2681,26,7572.156,0.014121221,18.6407767,R
EIA,0.064,206,3025,prairie strip,strips,34,2018,641,28,90949.729,1.422611595,18.6407767,R
EIA,0.052,476,3052,control,control,78,2018,5456,62,15572.841,1.852548504,6.554621849,R
EIA,0.052,476,3051,prairie strip,strips,78,2018,6396,52,11151.686,0.305524738,6.554621849,R
EIA,0.032,391,3051,prairie strip,strips,80,2018,6396,52,11151.686,0.305524738,4.910485934,R
EIA,0.017,281,3060,control,control,82,2018,3246,72,16288.562,1.253074511,3.629893238,R
EIA,0.031,191,3060,control,control,84,2018,3246,72,16288.562,1.253074511,9.738219895,R
EIA,0.031,191,3059,prairie strip,strips,84,2018,1481,54,15563.181,0.415766883,9.738219895,R
EIA,0.025,506,3071,prairie strip,strips,98,2018,1676,60,2388.705,0.057365975,2.964426877,R
EIA,0.025,506,3071,prairie strip,strips,98,2018,3686,62,60942.665,1.250425321,2.964426877,R
EIA,0.014,121,3072,control,control,100,2018,5511,82,35807.408,3.513702829,6.94214876,R
EIA,0.014,121,3071,prairie strip,strips,100,2018,1676,60,2388.705,0.057365975,6.94214876,R
EIA,0.014,121,3071,prairie strip,strips,100,2018,3686,62,60942.665,1.250425321,6.94214876,R
EIA,0.021,116,3072,control,control,102,2018,5511,82,35807.408,3.513702829,10.86206897,R
EIA,0.021,116,3071,prairie strip,strips,102,2018,1676,60,2388.705,0.057365975,10.86206897,R
EIA,0.021,116,3071,prairie strip,strips,102,2018,3686,62,60942.665,1.250425321,10.86206897,R
EIA,0.012,66,3081,control,control,108,2018,1871,84,2556.475,0.450533763,10.90909091,R
EIA,0.012,66,3080,prairie strip,strips,108,2018,3686,62,60942.665,0.391111062,10.90909091,R
HOE,0.00864,121,SPL1050,control,control,2,2016,1756,16,415.742,1.034269928,4.284297521,NR
HOE,0.00864,121,NS,prairie strip,strips,2,2016,0,a16,0,0,4.284297521,NR
HOE,0.01726,121,SPL1050,control,control,4,2016,1756,16,415.742,1.034269928,8.558677686,NR
HOE,0.01726,121,NS,prairie strip,strips,4,2016,0,a16,0,0,8.558677686,NR
HOE,0.06399,961,SPL1051,control,control,8,2016,1631,24,2238.569,8.302997186,3.995213319,NR
HOE,0.045,406,SPL1052,control,control,14,2016,19771,28,16516.974,2.701369808,6.650246305,NR
HOE,0.045,406,SPL1052,control,control,14,2016,1026,30,1009.896,0.674238523,6.650246305,NR
HOE,0.045,406,NS,prairie strip,strips,14,2016,0,a30,0,0,6.650246305,NR
HOE,0.013,181,SPL1052,control,control,16,2016,19771,28,16516.974,2.701369808,4.309392265,NR
HOE,0.013,181,SPL1052,control,control,16,2016,1026,30,1009.896,0.674238523,4.309392265,NR
HOE,0.013,181,NS,prairie strip,strips,16,2016,0,a30,0,0,4.309392265,NR
HOE,0.029,401,SPL1053,control,control,18,2016,1331,32,1084.536,0.896468298,4.33915212,NR
HOE,0.029,401,NS,prairie strip,strips,18,2016,0,a32,0,0,4.33915212,NR
HOE,0.021,111,SPL2050,control,control,10,2017,1936,11,2627.714,7.578900335,11.35135135,NR
HOE,0.021,111,NS,prairie strip,strips,10,2017,0,c11,0,0,11.35135135,NR
HOE,0.011,201,SPL2051,control,control,18,2017,2441,21,1303.533,5.408619988,3.28358209,NR
HOE,0.011,201,NS,prairie strip,strips,18,2017,0,c21,0,0,3.28358209,NR
HOE,0.023,696,SPL2052,control,control,20,2017,6416,23,16533.955,4.595399717,1.982758621,NR
HOE,0.023,696,NS,prairie strip,strips,20,2017,0,c23,0,0,1.982758621,NR
HOE,0.051,336,SPL2053,control,control,36,2017,611,45,5929.514,22.24429889,9.107142857,NR
HOE,0.051,336,NS,prairie strip,strips,36,2017,0,c45,0,0,9.107142857,NR
HOE,0.05892,301,SPL2054,control,control,50,2017,38626,73,101242.351,18.95189428,11.7448505,NR
HOE,0.05892,301,NS,prairie strip,strips,50,2017,0,c73,0,0,11.7448505,NR
HOE,0.037,356,SPL3300,control,control,8,2018,1116,10,715.401,0.205311862,6.235955056,NR
HOE,0.037,356,NS,prairie strip,strips,8,2018,0,d10,0,0,6.235955056,NR
HOE,0.08,956,SPL3301,control,control,12,2018,3016,14,21796.473,21.3151918,5.020920502,NR
HOE,0.08,956,NS,prairie strip,strips,12,2018,0,d14,0,0,5.020920502,NR
HOE,0.049,461,SPL3302,control,control,14,2018,1101,18,20229.489,45.01948975,6.377440347,NR
HOE,0.049,461,SPL3303,prairie strip,strips,14,2018,931,4,72920.742,14.49719291,6.377440347,NR
HOE,0.015,41,SPL3304,control,control,16,2018,816,20,6860.451,2.980591767,21.95121951,NR
HOE,0.015,41,SPL3305,prairie strip,strips,16,2018,246,6,37740.114,7.303059104,21.95121951,NR
HOE,0.046,416,SPL3306,control,control,18,2018,711,22,13199.642,19.58333031,6.634615385,NR
HOE,0.046,416,SPL3307,prairie strip,strips,18,2018,771,10,45926.228,3.954462414,6.634615385,NR
HOE,0.0726,2701,SPL3309,control,control,34,2018,1906,98,2709.984,0.875319381,1.612736024,NR
HOE,0.0726,2701,NS,prairie strip,strips,34,2018,0,d98,0,0,1.612736024,NR
HOE,0.06932,3421,SPL3310,control,control,36,2018,4586,114,31983.976,20.16030052,1.215784858,NR
HOE,0.06932,3421,SPL3311,prairie strip,strips,36,2018,906,16,88518.424,14.21401249,1.215784858,NR
HOE,0.19962,47641,SPL4300,control,control,3,2019,3006,47,23934.936,8.191859302,0.251405302,NR
HOE,0.19962,47641,SPL4301,prairie strip,strips,3,2019,2361,2,188525.702,3.749025274,0.251405302,NR
HOE,0.049,946,5007,control,control,2,2020,1526,4,6281.642,34.41373482,3.10782241,NR
HOE,0.049,946,NS,prairie strip,strips,2,2020,0,a4,0,0,3.10782241,NR
MAR,0.04,176,2024,control,control,18,2017,3821,12,1136.212,4.620400243,13.63636364,NR
MAR,0.04,176,NS,prairie strip,strips,18,2017,0,a12,0,0,13.63636364,NR
MAR,0.046,231,3036,control,control,16,2018,906,50,133.76,0.010645826,11.94805195,NR
MAR,0.046,231,NS,prairie strip,strips,16,2018,0,a50,0,0,11.94805195,NR
MAR,0.019,501,3073,control,control,54,2018,5306,76,1135.132,0.051813586,2.275449102,NR
MAR,0.019,501,NS,prairie strip,strips,54,2018,0,a76,0,0,2.275449102,NR
MAR,0.037,451,4021,control,control,30,2019,626,16,1407.002,10.0958513,4.922394678,NR
MAR,0.037,451,NS,prairie strip,strips,30,2019,0,a16,0,0,4.922394678,NR
MAR,0.014,46,4027,control,control,42,2019,16,26,154.922,1.293150312,18.26086957,NR
MAR,0.014,46,NS,prairie strip,strips,42,2019,0,a26,0,0,18.26086957,NR
MAR,0.035,166,5010,control,control,14,2020,346,16,267.336,0.78632521,12.65060241,NR
MAR,0.035,166,NS,prairie strip,strips,14,2020,0,0,0,0,12.65060241,NR
MAR,0.021,211,NS,prairie strip,strips,24,2020,0,a2,0,0,5.971563981,NR
MCN,0.035,211,2000,control,control,2,2017,,,,,9.952606635,R
MCN,0.035,211,NS,prairie strip,strips,2,2017,,,,,9.952606635,R
MCN,0.008,466,2001,control,control,6,2017,,,,,1.030042918,R
MCN,0.008,466,NS,prairie strip,strips,6,2017,,,,,1.030042918,R
MCN,0.03,196,2002,control,control,14,2017,,,,,9.183673469,R
MCN,0.03,196,NS,prairie strip,strips,14,2017,,,,,9.183673469,R
MCN,0.019,366,2003,control,control,18,2017,,,,,3.114754098,R
MCN,0.019,366,NS,prairie strip,strips,18,2017,,,,,3.114754098,R
MCN,0.011,636,2004,control,control,24,2017,,,,,1.037735849,R
MCN,0.011,636,2005,prairie strip,strips,24,2017,,,,,1.037735849,R
MCN,0.035,146,2008,control,control,28,2017,,,,,14.38356164,R
MCN,0.035,146,2009,prairie strip,strips,28,2017,,,,,14.38356164,R
MCN,0.02,156,2017,prairie strip,strips,34,2017,,,,,7.692307692,R
MCN,0.02,156,NS,prairie strip,strips,34,2017,,,,,7.692307692,R
MCN,0.026,126,NS,control,control,2,2018,,,,,12.38095238,R
MCN,0.026,126,3001,prairie strip,strips,2,2018,,,,,12.38095238,R
MCN,0.025,146,3002,control,control,8,2018,,,,,10.2739726,R
MCN,0.025,146,3003,prairie strip,strips,8,2018,,,,,10.2739726,R
MCN,0.01,21,3004,control,control,10,2018,,,,,28.57142857,R
MCN,0.01,21,3005,prairie strip,strips,10,2018,,,,,28.57142857,R
MCN,0.025,106,3006,control,control,12,2018,,,,,14.1509434,R
MCN,0.025,106,3007,prairie strip,strips,12,2018,,,,,14.1509434,R
MCN,0.03,151,NS,control,control,16,2018,,,,,11.9205298,R
MCN,0.03,151,3009,prairie strip,strips,16,2018,,,,,11.9205298,R
MCN,0.012,36,3013,control,control,22,2018,,,,,20,R
MCN,0.012,36,3014,prairie strip,strips,22,2018,,,,,20,R
MCN,0.011,41,3031,control,control,36,2018,,,,,16.09756098,R
MCN,0.011,41,3032,prairie strip,strips,36,2018,,,,,16.09756098,R
MCN,0.048,246,3033,control,control,42,2018,,,,,11.70731707,R
MCN,0.048,246,3034,prairie strip,strips,42,2018,,,,,11.70731707,R
MCN,0.15667,10621,3049,control,control,52,2018,,,,,0.885057904,R
MCN,0.15667,10621,3057,control,control,52,2018,,,,,0.885057904,R
MCN,0.15667,10621,3050,prairie strip,strips,52,2018,,,,,0.885057904,R
MCN,0.15667,10621,3058,prairie strip,strips,52,2018,,,,,0.885057904,R
MCN,0.044,1081,3069,control,control,58,2018,,,,,2.442183164,R
MCN,0.044,1081,3070,prairie strip,strips,58,2018,,,,,2.442183164,R
MCN,0.014,686,3069,control,control,60,2018,,,,,1.224489796,R
MCN,0.014,686,3070,prairie strip,strips,60,2018,,,,,1.224489796,R
MCN,0.013,101,3069,control,control,64,2018,,,,,7.722772277,R
MCN,0.013,101,3070,prairie strip,strips,64,2018,,,,,7.722772277,R
MCN,0.061,856,3078,control,control,68,2018,,,,,4.275700935,R
MCN,0.061,856,3079,prairie strip,strips,68,2018,,,,,4.275700935,R
MCN,0.04,201,4000,control,control,8,2019,,,,,11.94029851,R
MCN,0.04,201,4001,prairie strip,strips,8,2019,,,,,11.94029851,R
MCN,0.007,76,NS,control,control,20,2019,,,,,5.526315789,R
MCN,0.007,76,4006,prairie strip,strips,20,2019,,,,,5.526315789,R
MCN,0.016,346,4008,control,control,26,2019,,,,,2.774566474,R
MCN,0.016,346,4009,prairie strip,strips,26,2019,,,,,2.774566474,R
MCN,0.012,231,4025,control,control,28,2019,,,,,3.116883117,R
MCN,0.012,231,4026,prairie strip,strips,28,2019,,,,,3.116883117,R
MCN,0.017,26,4025,control,control,30,2019,,,,,39.23076923,R
MCN,0.017,26,4026,prairie strip,strips,30,2019,,,,,39.23076923,R
MCN,0.016,81,4025,control,control,32,2019,,,,,11.85185185,R
MCN,0.016,81,4026,prairie strip,strips,32,2019,,,,,11.85185185,R
MCN,0.015,276,4025,control,control,34,2019,,,,,3.260869565,R
MCN,0.015,276,4026,prairie strip,strips,34,2019,,,,,3.260869565,R
MCN,0.037,466,4025,control,control,36,2019,,,,,4.763948498,R
MCN,0.037,466,4026,prairie strip,strips,36,2019,,,,,4.763948498,R
MCN,0.013,131,4025,control,control,38,2019,,,,,5.954198473,R
MCN,0.013,131,4026,prairie strip,strips,38,2019,,,,,5.954198473,R
MCN,0.016,186,NS,control,control,46,2019,,,,,5.161290323,R
MCN,0.016,186,4035,prairie strip,strips,46,2019,,,,,5.161290323,R
MCN,0.024,281,4036,control,control,48,2019,,,,,5.12455516,R
MCN,0.024,281,4037,prairie strip,strips,48,2019,,,,,5.12455516,R
MCN,0.05,86,4044,control,control,52,2019,,,,,34.88372093,R
MCN,0.05,86,4045,prairie strip,strips,52,2019,,,,,34.88372093,R
MCN,0.048,81,4047,control,control,60,2019,,,,,35.55555556,R
MCN,0.048,81,4048,prairie strip,strips,60,2019,,,,,35.55555556,R
MCN,0.009,376,NS,control,control,70,2019,,,,,1.436170213,R
MCN,0.009,376,4052,prairie strip,strips,70,2019,,,,,1.436170213,R
MCN,0.015,286,NS,control,control,74,2019,,,,,3.146853147,R
MCN,0.015,286,4058,prairie strip,strips,74,2019,,,,,3.146853147,R
MCN,0.013,346,NS,control,control,76,2019,,,,,2.25433526,R
MCN,0.013,346,4058,prairie strip,strips,76,2019,,,,,2.25433526,R
MCN,0.023,681,NS,control,control,80,2019,,,,,2.026431718,R
MCN,0.023,681,NS,control,control,80,2019,,,,,2.026431718,R
MCN,0.023,681,4070,prairie strip,strips,80,2019,,,,,2.026431718,R
MCN,0.01,296,NS,control,control,82,2019,,,,,2.027027027,R
MCN,0.01,296,4071,prairie strip,strips,82,2019,,,,,2.027027027,R
MCN,0.008,511,NS,control,control,2,2020,,,,,0.939334638,R
MCN,0.008,511,5000,prairie strip,strips,2,2020,,,,,0.939334638,R
MCN,0.057,111,5001,control,control,8,2020,,,,,30.81081081,R
MCN,0.057,111,5002,prairie strip,strips,8,2020,,,,,30.81081081,R
MCN,0.013,76,NS,control,control,10,2020,,,,,10.26315789,R
MCN,0.013,76,5003,prairie strip,strips,10,2020,,,,,10.26315789,R
MCN,0.011,41,NS,control,control,16,2020,,,,,16.09756098,R
MCN,0.011,41,5009,prairie strip,strips,16,2020,,,,,16.09756098,R
MCN,0.009,11,NS,control,control,18,2020,,,,,49.09090909,R
MCN,0.009,11,5009,prairie strip,strips,18,2020,,,,,49.09090909,R
MCN,0.015,31,NS,control,control,20,2020,,,,,29.03225806,R
MCN,0.015,31,5012,prairie strip,strips,20,2020,,,,,29.03225806,R
MCN,0.039,631,NS,control,control,26,2020,,,,,3.708399366,R
MCN,0.039,631,5019,prairie strip,strips,26,2020,,,,,3.708399366,R
RHO,0.036,191,1014,control,control,28,2016,,,,,11.30890052,R
RHO,0.036,191,1013,prairie strip,strips,28,2016,,,,,11.30890052,R
RHO,0.046,591,1021,control,control,58,2016,,,,,4.670050761,R
RHO,0.046,591,NS,prairie strip,strips,58,2016,0,,,,4.670050761,R
RHO,0.029,201,1028,control,control,72,2016,,,,,8.656716418,R
RHO,0.029,201,NS,prairie strip,strips,72,2016,0,,,,8.656716418,R
RHO,0.015,251,1033,control,control,76,2016,,,,,3.585657371,R
RHO,0.015,251,NS,prairie strip,strips,76,2016,0,,,,3.585657371,R
RHO,0.013,106,1039,control,control,86,2016,,,,,7.358490566,R
RHO,0.013,106,NS,prairie strip,strips,86,2016,0,,,,7.358490566,R
RHO,0.014,196,NS,control,control,18,2017,0,,,,4.285714286,R
RHO,0.014,196,2006,prairie strip,strips,18,2017,,,,,4.285714286,R
RHO,0.029,491,2010,control,control,20,2017,,,,,3.543788187,R
RHO,0.029,491,NS,prairie strip,strips,20,2017,0,,,,3.543788187,R
RHO,0.013,11,2013,control,control,22,2017,,,,,70.90909091,R
RHO,0.013,11,NS,prairie strip,strips,22,2017,0,,,,70.90909091,R
RHO,0.013,11,NS,prairie strip,strips,22,2017,0,,,,70.90909091,R
RHO,0.025,166,2013,control,control,26,2017,,,,,9.036144578,R
RHO,0.025,166,NS,prairie strip,strips,26,2017,0,,,,9.036144578,R
RHO,0.013,101,2016,control,control,28,2017,,,,,7.722772277,R
RHO,0.013,101,NS,prairie strip,strips,28,2017,0,,,,7.722772277,R
RHO,0.017,36,2019,control,control,32,2017,,,,,28.33333333,R
RHO,0.017,36,2018,prairie strip,strips,32,2017,,,,,28.33333333,R
RHO,0.027,31,2026,control,control,36,2017,,,,,52.25806452,R
RHO,0.027,31,2025,prairie strip,strips,36,2017,,,,,52.25806452,R
RHO,0.018,246,2027,control,control,78,2017,,,,,4.390243902,R
RHO,0.018,246,NS,prairie strip,strips,78,2017,0,,,,4.390243902,R
RHO,0.034,536,2027,control,control,80,2017,,,,,3.805970149,R
RHO,0.034,536,NS,prairie strip,strips,80,2017,0,,,,3.805970149,R
RHO,0.019,556,2027,control,control,84,2017,,,,,2.050359712,R
RHO,0.019,556,NS,prairie strip,strips,84,2017,0,,,,2.050359712,R
RHO,0.016,86,3008,control,control,10,2018,506,12,758.573,0.350441849,11.1627907,R
RHO,0.016,86,NS,prairie strip,strips,10,2018,0,a12,0,0,11.1627907,R
RHO,0.139,381,NS,control,control,20,2018,0,a6,0,0,21.88976378,R
RHO,0.139,381,3017,prairie strip,strips,20,2018,1206,6,15772.082,22.9213654,21.88976378,R
RHO,0.021,66,NS,control,control,24,2018,0,a12,0,0,19.09090909,R
RHO,0.021,66,3021,prairie strip,strips,24,2018,1066,12,2520.362,1.147663074,19.09090909,R
RHO,0.011,321,3024,control,control,26,2018,3796,18,8754.961,0.709909393,2.056074766,R
RHO,0.011,321,3021,prairie strip,strips,26,2018,1066,12,2520.362,1.147663074,2.056074766,R
RHO,0.011,321,3023,prairie strip,strips,26,2018,1066,12,2520.362,0.05104997,2.056074766,R
RHO,0.076,591,3029,control,control,32,2018,956,24,39114.334,59.85951115,7.715736041,R
RHO,0.076,591,3028,prairie strip,strips,32,2018,1881,18,14652.472,2.147039114,7.715736041,R
RHO,0.061,436,3038,control,control,36,2018,686,26,1816.068,0.98362964,8.394495413,R
RHO,0.061,436,3038,control,control,36,2018,2171,32,36621.807,19.38965767,8.394495413,R
RHO,0.061,436,3037,prairie strip,strips,36,2018,1881,18,14652.472,0.163211085,8.394495413,R
RHO,0.061,436,3037,prairie strip,strips,36,2018,1036,20,9258.3,0.609555825,8.394495413,R
RHO,0.007,10,NS,control,control,40,2018,0,a20,0,0,42,R
RHO,0.03,121,3042,control,control,50,2018,3696,52,8033.684,4.057102504,14.87603306,R
RHO,0.03,121,NS,prairie strip,strips,50,2018,0,a52,0,0,14.87603306,R
RHO,0.033,151,3042,control,control,52,2018,3696,52,8033.684,4.057102504,13.11258278,R
RHO,0.033,151,NS,prairie strip,strips,52,2018,0,a52,0,0,13.11258278,R
RHO,0.019,366,3045,control,control,58,2018,3411,74,1069.197,0.266482396,3.114754098,R
RHO,0.019,366,3045,control,control,58,2018,956,86,84.876,0.024197524,3.114754098,R
RHO,0.007,116,3045,control,control,60,2018,3411,74,1069.197,0.266482396,3.620689655,R
RHO,0.007,116,3045,control,control,60,2018,956,86,84.876,0.024197524,3.620689655,R
RHO,0.012,271,3045,control,control,64,2018,3411,74,1069.197,0.266482396,2.656826568,R
